library/codegemma	codegemma:7b-instruct-q4_0	Q4_0	5011844096	3200000
library/codegemma	codegemma:2b-code-fp16	F16	5018535168	3200000
library/codegemma	codegemma:2b-code-v1.1-fp16	F16	5018535168	3200000
library/codegemma	codegemma:7b-code-q4_K_S	Q4_K_S	5046446656	3200000
library/codegemma	codegemma:7b-instruct-v1.1-q4_K_S	Q4_K_S	5046446656	3200000
library/codegemma	codegemma:7b-instruct-q4_K_S	Q4_K_S	5046447104	3200000
library/codegemma	codegemma:7b-code-q4_K_M	Q4_K_M	5329758592	3200000
library/codegemma	codegemma:7b-instruct-v1.1-q4_K_M	Q4_K_M	5329758784	3200000
library/codegemma	codegemma:7b-instruct-q4_K_M	Q4_K_M	5329759232	3200000
library/codegemma	codegemma:7b-code-q4_1	Q4_1	5496285760	3200000
library/codegemma	codegemma:7b-instruct-v1.1-q4_1	Q4_1	5496285760	3200000
library/codegemma	codegemma:7b-instruct-q4_1	Q4_1	5496286208	3200000
library/codegemma	codegemma:7b-code-q5_K_S	Q5_K_S	5980727680	3200000
library/codegemma	codegemma:7b-code-q5_0	Q5_0	5980727872	3200000
library/codegemma	codegemma:7b-instruct-v1.1-q5_0	Q5_0	5980727872	3200000
library/codegemma	codegemma:7b-instruct-v1.1-q5_K_S	Q5_K_S	5980727872	3200000
library/codegemma	codegemma:7b-instruct-q5_0	Q5_0	5980728320	3200000
library/codegemma	codegemma:7b-instruct-q5_K_S	Q5_K_S	5980728320	3200000
library/codegemma	codegemma:7b-code-q5_K_M	Q5_K_M	6144502144	3200000
library/codegemma	codegemma:7b-instruct-v1.1-q5_K_M	Q5_K_M	6144502336	3200000
library/codegemma	codegemma:7b-instruct-q5_K_M	Q5_K_M	6144502784	3200000
library/codegemma	codegemma:7b-code-q5_1	Q5_1	6465169984	3200000
library/codegemma	codegemma:7b-instruct-v1.1-q5_1	Q5_1	6465169984	3200000
library/codegemma	codegemma:7b-instruct-q5_1	Q5_1	6465170432	3200000
library/codegemma	codegemma:7b-code-q6_K	Q6_K	7010167360	3200000
library/codegemma	codegemma:7b-instruct-v1.1-q6_K	Q6_K	7010167360	3200000
library/codegemma	codegemma:7b-instruct-q6_K	Q6_K	7010167808	3200000
library/codegemma	codegemma:7b-code-q8_0	Q8_0	9077844544	3200000
library/codegemma	codegemma:7b-instruct-v1.1-q8_0	Q8_0	9077844544	3200000
library/codegemma	codegemma:7b-instruct-q8_0	Q8_0	9077844992	3200000
library/codegemma	codegemma:7b-code-fp16	F16	17081756160	3200000
library/codegemma	codegemma:7b-instruct-v1.1-fp16	F16	17081756192	3200000
library/codegemma	codegemma:7b-instruct-fp16	F16	17081756640	3200000
library/codellama	codellama:7b-python-q2_K	Q2_K	2825940704	6000000
library/codellama	codellama:7b-code-q2_K	Q2_K	2826016416	6000000
library/codellama	codellama:7b-instruct-q2_K	Q2_K	2826016416	6000000
library/codellama	codellama:7b-python-q3_K_S	Q3_K_S	2948304608	6000000
library/codellama	codellama:7b-code-q3_K_S	Q3_K_S	2948386976	6000000
library/codellama	codellama:7b-instruct-q3_K_S	Q3_K_S	2948386976	6000000
library/codellama	codellama:7b-python-q3_K_M	Q3_K_M	3298004704	6000000
library/codellama	codellama:7b-code-q3_K_M	Q3_K_M	3298087072	6000000
library/codellama	codellama:7b-instruct-q3_K_M	Q3_K_M	3298087072	6000000
library/codellama	codellama:7b-python-q3_K_L	Q3_K_L	3597111008	6000000
library/codellama	codellama:7b-code-q3_K_L	Q3_K_L	3597193376	6000000
library/codellama	codellama:7b-instruct-q3_K_L	Q3_K_L	3597193376	6000000
library/codellama	codellama:python	Q4_0	3825807072	6000000
